classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
23270490,vr00n,1485637,a659564897c7b0bed42a,3093,MAIN,40.24,2016-12-14 11:49:36 UTC,,,"{""session"":""a1edc90d275b9ab0cd197c771bba570409e6fae63ac0b116dcffd1dd94d97d5e"",""viewport"":{""width"":1440,""height"":776},""started_at"":""2016-12-14T11:49:14.969Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T11:49:36.831Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":809,""clientHeight"":291,""naturalWidth"":1024,""naturalHeight"":368}]}","[{""task"":""T0"",""task_label"":""Mark patches of fixed aspect ratio (1:1) for smooth street patches  and for patches with defects."",""value"":[{""r"":105.61325906592448,""x"":252.89493201483302,""y"":244.29171817058105,""tool"":0,""angle"":-45,""frame"":0,""details"":[],""tool_label"":""No defect""}]}]","{""4958324"":{""retired"":null,""Filename"":""1460637451.8.jpg""}}",4958324
23270494,vr00n,1485637,a659564897c7b0bed42a,3093,MAIN,40.24,2016-12-14 11:49:52 UTC,,,"{""session"":""a1edc90d275b9ab0cd197c771bba570409e6fae63ac0b116dcffd1dd94d97d5e"",""viewport"":{""width"":1440,""height"":776},""started_at"":""2016-12-14T11:49:43.697Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T11:49:52.705Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":809,""clientHeight"":607,""naturalWidth"":1024,""naturalHeight"":768}]}","[{""task"":""T0"",""task_label"":""Mark patches of fixed aspect ratio (1:1) for smooth street patches  and for patches with defects."",""value"":[{""r"":110.11829881042439,""x"":400.9917152760038,""y"":608.8149769525918,""tool"":0,""angle"":-46.397182466442864,""frame"":0,""details"":[],""tool_label"":""No defect""}]}]","{""4960852"":{""retired"":null,""Filename"":""1460641116.48.jpg""}}",4960852
23270498,vr00n,1485637,a659564897c7b0bed42a,3093,MAIN,40.24,2016-12-14 11:50:00 UTC,,,"{""session"":""a1edc90d275b9ab0cd197c771bba570409e6fae63ac0b116dcffd1dd94d97d5e"",""viewport"":{""width"":1440,""height"":776},""started_at"":""2016-12-14T11:49:54.122Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T11:50:00.250Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":809,""clientHeight"":607,""naturalWidth"":1024,""naturalHeight"":768}]}","[{""task"":""T0"",""task_label"":""Mark patches of fixed aspect ratio (1:1) for smooth street patches  and for patches with defects."",""value"":[{""r"":94.20959080347443,""x"":294.67060198726546,""y"":626.5351633919605,""tool"":0,""angle"":-30.699723815858107,""frame"":0,""details"":[],""tool_label"":""No defect""}]}]","{""4956086"":{""retired"":null,""Filename"":""1460635805.2.jpg""}}",4956086
23270605,vr00n,1485637,a659564897c7b0bed42a,3093,MAIN,40.35,2016-12-14 11:56:41 UTC,,,"{""session"":""3f3d495253d79a2dbf24b138d86854e11d2b6a1ae70bd36868ba5cb663f8a1ce"",""viewport"":{""width"":1440,""height"":776},""started_at"":""2016-12-14T11:56:27.998Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T11:56:41.740Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":809,""clientHeight"":607,""naturalWidth"":1024,""naturalHeight"":768}]}","[{""task"":""T0"",""task_label"":""Mark patches of fixed aspect ratio (1:1) for smooth street patches  and for patches with defects."",""value"":[{""r"":112.02940236011308,""x"":435.16635883309834,""y"":622.7379805835241,""tool"":0,""angle"":-32.07400217195753,""frame"":0,""details"":[],""tool_label"":""Smooth - Road has no defects.""}]}]","{""4960369"":{""retired"":null,""Filename"":""1460640334.93.jpg""}}",4960369
23270631,vr00n,1485637,a659564897c7b0bed42a,3093,MAIN,40.35,2016-12-14 11:57:39 UTC,,,"{""session"":""3f3d495253d79a2dbf24b138d86854e11d2b6a1ae70bd36868ba5cb663f8a1ce"",""viewport"":{""width"":1440,""height"":776},""started_at"":""2016-12-14T11:57:16.290Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T11:57:39.660Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":809,""clientHeight"":607,""naturalWidth"":1024,""naturalHeight"":768}]}","[{""task"":""T0"",""task_label"":""Mark patches of fixed aspect ratio (1:1) for smooth street patches  and for patches with defects."",""value"":[{""r"":153.20010047585774,""x"":397.1945326585489,""y"":612.6121597610279,""tool"":0,""angle"":-38.29016459376197,""frame"":0,""details"":[],""tool_label"":""Smooth - Road has no defects.""}]}]","{""4961477"":{""retired"":null,""Filename"":""1460641756.69.jpg""}}",4961477
23270715,vr00n,1485637,a659564897c7b0bed42a,3093,MAIN,40.35,2016-12-14 12:01:23 UTC,,,"{""session"":""3f3d495253d79a2dbf24b138d86854e11d2b6a1ae70bd36868ba5cb663f8a1ce"",""viewport"":{""width"":1440,""height"":776},""started_at"":""2016-12-14T12:01:01.356Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T12:01:23.494Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":809,""clientHeight"":607,""naturalWidth"":1024,""naturalHeight"":768}]}","[{""task"":""T0"",""task_label"":""Mark patches of fixed aspect ratio (1:1) for smooth street patches  and for patches with defects."",""value"":[{""r"":51.02310953690965,""x"":150.37766252397773,""y"":640.4581670228928,""tool"":0,""angle"":-43.994915434718976,""frame"":0,""details"":[],""tool_label"":""Smooth - Road has no defects.""},{""r"":44.89319958619239,""x"":187.0837611593755,""y"":461.99057502639494,""tool"":0,""angle"":-40.426080162633184,""frame"":0,""details"":[],""tool_label"":""Smooth - Road has no defects.""}]}]","{""4958338"":{""retired"":null,""Filename"":""1460637461.4.jpg""}}",4958338
23270869,vr00n,1485637,a659564897c7b0bed42a,3093,MAIN,56.38,2016-12-14 12:06:42 UTC,,,"{""session"":""f5d9afb3f9b3267204d2625ac5fec0b6236ac1dbe82439d8e02cc3be5c779f5b"",""viewport"":{""width"":1440,""height"":776},""started_at"":""2016-12-14T12:06:32.517Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T12:06:42.510Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":809,""clientHeight"":607,""naturalWidth"":1024,""naturalHeight"":768}]}","[{""task"":""T0"",""task_label"":""Annotate regions of these street pictures for road defects or smoothness."",""value"":[{""r"":101.17114935000073,""x"":473.1381850076477,""y"":584.766152499163,""tool"":0,""angle"":-43.47923177768634,""frame"":0,""details"":[],""tool_label"":""Smooth - Road has no defects.""},{""r"":119.79026481535251,""x"":717.4236000639155,""y"":630.3323462003965,""tool"":0,""angle"":-38.565262253628624,""frame"":0,""details"":[],""tool_label"":""Smooth - Road has no defects.""},{""r"":99.0265009524883,""x"":175.69221330701066,""y"":620.2065253779001,""tool"":0,""angle"":-54.887990171459585,""frame"":0,""details"":[],""tool_label"":""Smooth - Road has no defects.""}]}]","{""4961641"":{""retired"":null,""Filename"":""1460641882.09.jpg""}}",4961641
23270871,vr00n,1485637,a659564897c7b0bed42a,3093,MAIN,56.38,2016-12-14 12:06:47 UTC,,,"{""session"":""f5d9afb3f9b3267204d2625ac5fec0b6236ac1dbe82439d8e02cc3be5c779f5b"",""viewport"":{""width"":1440,""height"":776},""started_at"":""2016-12-14T12:06:43.538Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T12:06:47.698Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":809,""clientHeight"":607,""naturalWidth"":1024,""naturalHeight"":768}]}","[{""task"":""T0"",""task_label"":""Annotate regions of these street pictures for road defects or smoothness."",""value"":[{""r"":133.7605165770536,""x"":375.6771644929709,""y"":618.9407977750884,""tool"":0,""angle"":-29.47589023767866,""frame"":0,""details"":[],""tool_label"":""Smooth - Road has no defects.""}]}]","{""4960970"":{""retired"":null,""Filename"":""1460641213.09.jpg""}}",4960970
23270876,vr00n,1485637,a659564897c7b0bed42a,3093,MAIN,56.38,2016-12-14 12:06:52 UTC,,,"{""session"":""f5d9afb3f9b3267204d2625ac5fec0b6236ac1dbe82439d8e02cc3be5c779f5b"",""viewport"":{""width"":1440,""height"":776},""started_at"":""2016-12-14T12:06:49.636Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T12:06:52.762Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":809,""clientHeight"":607,""naturalWidth"":1024,""naturalHeight"":768}]}","[{""task"":""T0"",""task_label"":""Annotate regions of these street pictures for road defects or smoothness."",""value"":[{""r"":118.08634385653099,""x"":464.27809223358616,""y"":629.0666185975845,""tool"":0,""angle"":-30.963757803420418,""frame"":0,""details"":[],""tool_label"":""Smooth - Road has no defects.""}]}]","{""4962143"":{""retired"":null,""Filename"":""1460642369.6.jpg""}}",4962143
23270881,vr00n,1485637,a659564897c7b0bed42a,3093,MAIN,56.38,2016-12-14 12:07:00 UTC,,,"{""session"":""f5d9afb3f9b3267204d2625ac5fec0b6236ac1dbe82439d8e02cc3be5c779f5b"",""viewport"":{""width"":1440,""height"":776},""started_at"":""2016-12-14T12:06:53.458Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2016-12-14T12:07:00.660Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":809,""clientHeight"":607,""naturalWidth"":1024,""naturalHeight"":768}]}","[{""task"":""T0"",""task_label"":""Annotate regions of these street pictures for road defects or smoothness."",""value"":[{""r"":88.14772434356111,""x"":330.11097308351157,""y"":683.4929055185023,""tool"":0,""angle"":-32.09259262580507,""frame"":0,""details"":[],""tool_label"":""Smooth - Road has no defects.""}]}]","{""4957019"":{""retired"":null,""Filename"":""1460636435.8.jpg""}}",4957019
