subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason
5041504,3584,3093,7484,"{""Filename"":""1460807147.4.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a44c585d-276b-4f83-ba15-9315846d8ba6.jpeg""}",0,,
5041505,3584,3093,7484,"{""Filename"":""1460812350.4.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/dada76cd-5cc2-4545-80c1-ca9047c92e91.jpeg""}",0,,
5041506,3584,3093,7484,"{""Filename"":""1460812352.6.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/1c7931dc-cd08-4067-aa7a-b5e10cee762b.jpeg""}",0,,
5041507,3584,3093,7484,"{""Filename"":""1460812353.4.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/33e96b5b-aef5-46e9-a4b4-17346db5fafb.jpeg""}",0,,
5041508,3584,3093,7484,"{""Filename"":""1460812354.2.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/4a03afba-5f41-434c-a7d4-ef61cec2c14c.jpeg""}",0,,
5041509,3584,3093,7484,"{""Filename"":""1460812355.0.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/51142731-b227-4161-ad02-1fb4223eacf6.jpeg""}",0,,
5041510,3584,3093,7484,"{""Filename"":""1460812355.8.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/cc2aa685-5dc2-4249-a58e-7193879736eb.jpeg""}",0,,
5041511,3584,3093,7484,"{""Filename"":""1460812356.6.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e54ba4c7-d7b7-4947-af7f-46791fbbe041.jpeg""}",0,,
5041512,3584,3093,7484,"{""Filename"":""1460812357.4.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8f350e7c-fa4a-4789-a2b9-e7bd61cb8658.jpeg""}",0,,
5041513,3584,3093,7484,"{""Filename"":""1460638030.0.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/79296aab-41f2-41a7-a710-008bc59c3d8a.jpeg""}",0,,
5041514,3584,3093,7484,"{""Filename"":""1460638030.8.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/39d8d503-4ebe-4b90-86ff-c65e8cc8b931.jpeg""}",0,,
